Vector Size (2^28),Iteration,C Timing (s),Assembly Timing (s)
268435456,1,2.742000,11.062000
,2,5.799000,21.810000
,3,4.165000,1.267000
,4,0.677000,0.496000
,5,0.344000,0.467000
,6,0.346000,0.499000
,7,0.315000,0.466000
,8,0.325000,0.482000
,9,0.318000,0.477000
,10,0.333000,0.453000
,11,0.454000,0.471000
,12,0.327000,0.438000
,13,0.332000,0.441000
,14,0.340000,0.481000
,15,0.329000,0.469000
,16,0.326000,0.486000
,17,0.356000,0.772000
,18,0.393000,0.441000
,19,0.335000,0.452000
,20,0.328000,0.552000
,21,0.331000,0.465000
,22,0.328000,0.469000
,23,0.319000,0.465000
,24,0.352000,0.466000
,25,0.317000,0.561000
,26,0.350000,0.470000
,27,0.317000,0.472000
,28,0.371000,0.458000
,29,0.557000,0.505000
,30,0.421000,0.452000

, , Average Time (s): 0.751567, Average Time (s): 1.575500
