Vector Size (2^24),Iteration,C Timing (s),Assembly Timing (s)
16777216,1,0.108000,0.031000
,2,0.089000,0.024000
,3,0.117000,0.024000
,4,0.084000,0.023000
,5,0.094000,0.023000
,6,0.078000,0.024000
,7,0.112000,0.029000
,8,0.086000,0.023000
,9,0.086000,0.024000
,10,0.090000,0.023000
,11,0.099000,0.023000
,12,0.106000,0.024000
,13,0.090000,0.024000
,14,0.122000,0.023000
,15,0.090000,0.031000
,16,0.095000,0.027000
,17,0.096000,0.032000
,18,0.095000,0.030000
,19,0.085000,0.039000
,20,0.094000,0.037000
,21,0.101000,0.048000
,22,0.078000,0.047000
,23,0.098000,0.044000
,24,0.088000,0.042000
,25,0.098000,0.042000
,26,0.084000,0.057000
,27,0.084000,0.042000
,28,0.113000,0.044000
,29,0.082000,0.039000
,30,0.092000,0.034000

, , Average Time (s): 0.094467, Average Time (s): 0.032567
